id,text
1,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
2,RT @navymark7: Ngerti ga knp Safa yg emang salah karena hatespeech malah ketutup sama kocaknya Sabrina dan Berflowerrr tuh? Karena urusan S…
3,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
4,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
5,@bintangemon Komedian sama stand up indo juga lewat sama lawakan nya kasus safa
6,wkwkkw kasus safa diulang ulang ttp lucu
7,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
8,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
9,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
10,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
11,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
12,@Shafamamahbawel Mba Safa di Aceh ya
13,"RT @kinderorchestra: safa dibenci kpoppers, tapi flower dan sabrina dibenci satu indonesia. padahal sebelum space semalem yang kelihatan je…"
14,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
15,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
16,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
17,"RT @doniiyaw: mbak @iamdimsun td katanya bisa nurunin pangkat dan pindahin tugas org tua nya safa ya? mbak udh power abuse loh, saya jd pen…"
18,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
19,@igotsaf Alhamdulillah sadar semangat Safa ngefans sewajarnya jangan mendewakan jangan ngehate juga secukupnya aja karena yang berlebihan ngga baik
20,RT @99skets: safa space brantem sampe ngancem lapor polisi satu sama lain coba lu lapor pas ditanya perkara apa lu jawab perkara kpop palin…
21,"@itshorangi kemaren yg masalah safa, skrg banyak oknum oknum yg annoying selama artisnya di indo😭"
22,Ntar safa ikutan space kinpuri ga ya
23,@starrienightz “kamu udah liat berita safa itu nggak”
24,"@igotsaf it's okay safa setidaknya kamu udah minta maaf, plis tolong jangan di ulangi lagi yaaa"
25,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
26,"RT @kinderorchestra: safa dibenci kpoppers, tapi flower dan sabrina dibenci satu indonesia. padahal sebelum space semalem yang kelihatan je…"
27,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
28,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
29,@sluluplup semoga aku dijauhkan dari mbak² 29 tahun yg membenci safa✌️
30,"RT @bellbelaqq: TL gue campurr aduk jirr ada garam,hotel,safa msih lewat,konser,train to busan,sasaeng.astagaaa kaya sayurr lengkap bgt ada…"
31,"@Ourfreakgirl garam itu trainee(?) HYBE yg dikeluarin dr sekolahnya krn ngebully orang. kalo safa, dia salty ke idol terus dirujak sama mbak mbak aktivis ham umur 29tahun yg calon suaminya polisi 🥺🥺"
32,RT @smgwaras: safa space tembus 20k udah kaya fellowship in paris kemaren semangat ateez T__________T
33,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
34,"@injeolmies49 @tanyakanrl Safa emang ketikannya jahat, tapi si berbunga konyol banget woi kayak orang gila😭🤣"
35,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
36,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
37,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
38,@aarieshere haha aku bukan anak kecil namaku safa panggil aku safa
39,"@hirairyu @rianynurdhea @SoundOfYogi Sekarang emang ada larangan untuk hate speech?
Gini, Safa minta maaf bukan karena dia salah. Tapi karena kalian yg kebanyakan bacot ngurusin mulut orang lain."
40,"Aku masih belum kasus safa di twitter itu 
Adakah yg mau berbaik hati jelasin ? 😭😅"
41,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
42,"@nom_nomgurl THISSSSS! org2 jd malah menormalize hate speech n bullying nonverb, yg kaya safa ini nanti malah seneng dan tdk menutup kmungkinan bsk2 byk yg ngikutin cara dia"
43,RT @BudsAlip: @FitraRa46826782 @igotsaf Saya malah respect kepada Safa karna sudah menyinggung ras terkuat di bumi
44,hah safa itu kenapa se i ga ngerti
45,"Safa! Saya ini perwakilan anak alter ..
Bapak saya ini MUA eh MUI"
46,"RT @FitraRa46826782: @igotsaf Semangat safa, berkat kamu saya jadi tau bahwa diluar sana masih ada orang yang lebih goblok dari saya, ARIGA…"
47,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
48,"RT @ArditErwandha: tiba-tiba kepikiran Safa, Bunga, dan Renjun."
49,"RT @bellbelaqq: TL gue campurr aduk jirr ada garam,hotel,safa msih lewat,konser,train to busan,sasaeng.astagaaa kaya sayurr lengkap bgt ada…"
50,"@abinataaaa kasus garam buat greget. kasus safa nih nambahin dosa mba, ngebodoh-bodohin orang soalnya😭"
51,"RT @bajayakajay: Gara-gara kasus Safa, jadi banyak yang menggeneralisir kalo di balik akun ava korea itu orang-orangnya ngga banget.

Padah…"
52,RT @99skets: safa space brantem sampe ngancem lapor polisi satu sama lain coba lu lapor pas ditanya perkara apa lu jawab perkara kpop palin…
53,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
54,"ntah segala Safa, space, mbak 29 tahun, batu, kayu, nasi, bakwan, roti tai kucing ngentot"
55,"@daaaahlu @itsdeaduh Amaaaaan mah westlife ama bsb, anggotanya sama, aku pun kianisasi bgt. Yg rival biasanya ama Nsync 😱😱😱😱 tp belom sampe bikin safa space kok"
56,"@hirairyu @rianynurdhea @SoundOfYogi Dia kan emang ngakuin kalau dia benci sama kpopers.
Tapi kalian ini ga berhak ngebungkam mulutnya si Safa.
Who the Fuck r u berani2nya membungkam hak orang berbicara?
Coba lu jabarin bentuk kerugian yg dialami oleh org yg sakit hati karena omongannya si Safa?"
57,"RT @bellbelaqq: TL gue campurr aduk jirr ada garam,hotel,safa msih lewat,konser,train to busan,sasaeng.astagaaa kaya sayurr lengkap bgt ada…"
58,"RT @jaelylyvall: @igotsaf banyak yg respect sama safa padahal ketikan dia sangat amat tidak mencerminkan perilaku sopan, but it's okay kede…"
59,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
60,"@igotsaf Safa salah , mba aktifis ham salah , jaemin salah , hwang renjun salah , jadi fans kpop aja udah salah"
61,"RT @mazzini_gsp: Pak Jenderal @ListyoSigitP, nanti kalau ada laporan ke Polisi atas nama Safa, kaga usah diladenin pak 🙏🏻"
62,"tiba-tiba kepikiran Safa, Bunga, dan Renjun."
63,"RT @badutkenyal: Kumpulan space safa, karna perlu dikenang dalam sejarah:

A thread🙏🏼"
64,RT @aji_irfanR: @tubirfess Ribut2 safa ini semakin meyakinkanku kalo dunia perkipopan dipenuhi banyak orang(ga semua) yg fanatik dan rada p…
