id,text
1,"RT @OnlyFrens: Ketika ada kasus Korupsi Asabri, Jiwasraya, Bansos, Minyak Goreng, GoTo dll selalu muncul narasi Radikal radikul.

Biang ker…"
2,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
3,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
4,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
5,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
6,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
7,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
8,"RT @kulinerbocah: @aewin86 eh iya lupa, Goto kan barengan Tokopedia😁🫡"
9,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
10,"RT @OnlyFrens: Ketika ada kasus Korupsi Asabri, Jiwasraya, Bansos, Minyak Goreng, GoTo dll selalu muncul narasi Radikal radikul.

Biang ker…"
11,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
12,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
13,"RT @OnlyFrens: Ketika ada kasus Korupsi Asabri, Jiwasraya, Bansos, Minyak Goreng, GoTo dll selalu muncul narasi Radikal radikul.

Biang ker…"
14,"RT @HeriSuwondo2: Sedang viral khabar Telkomsel beli saham GOTO senilai Rp 6,2 T rugi hampir 1 T krn harga saham perusahan tsb anjlog. Telk…"
