id,text
37,"@tizamiya wkwkwkw iya sumpaaah anying bawa2 partai, kapolda dll bangga2in org lain tp dia sendiri nothing bnrbnr super freaky mommy in the world😭😭"
38,"@infotwitwor_ Ya allah untung w dah tobat. Adek2 cepatlah kalian bertambah tua maka kalian akan malu dgn sendirinya. Tp ga menjamin juga si, kmrn aja ada org umur 29 tahun jd AKTIVIS HAM punya adek POLISI dan dosen nya KADER GOLKAR, CALON ipar nya jg KAPOLDA tapi masih ""nganu"" di space"
39,@infotwitwor_ Apakah menurutnya Kapolda adalah sebuah hinaan?
40,"@convomfs Nderr coba pake template ini, siapa tauworks

Jangan macem macem ya sama saya!
Saya ini aktivis HAM, ayah saya TENTARA, adek saya POLISI, kakanya calon suami saya itu KAPOLDA, dan dosen saya KADER GOLKAR.
jangan macem macem kamu! Mau saya bawa ke meja hijau?"
41,"@michan_oripedes Saya ini aktivis HAM, ayah saya TENTARA, adek saya POLISI, kakanya calon suami saya itu KAPOLDA, dan dosen saya KADER GOLKAR.
jangan macem macem kamu! Mau saya bawa ke meja hijau?"
42,"@tobiramaluv Power backingannya gede, bapaknya kapolda aowkwkwkwkwkwk"
43,@boiycoy Mau aku laporin kapolda?
44,"@Beebadoobee1 @tanyakanrl Jangan macem macem ya sama saya!
Saya ini aktivis HAM, ayah saya TENTARA, adek saya POLISI, kakanya calon suami saya itu KAPOLDA, dan dosen saya KADER GOLKAR.
jangan macem macem kamu! Mau saya bawa ke meja hijau?"
45,@NiceTryShitHat Kakak saya calon suaminya kapolda loh wkwkwkw
46,"@RahasiaPlatipus Jangan macem macem ya sama saya!
Saya ini aktivis HAN, ayah saya TENTARA, adek saya POLISI, kakanya calon suami saya itu KAPOLDA, dan dosen saya KADER GOLKAR.
jangan macem macem kamu! Mau saya bawa ke meja hijau?"
47,"Pada nanyain 
""Is Kim Garam from rich family?""
""How rich her family cause Hybe defending her""

Udah gua bilang Garam bapaknya Kapolda."
48,@alinaarf @adjisdoaibu hooh yang kakaknya calon suaminya kapolda
