id,text
67,"@Dennysiregar7 Lagi rame uang 5T di GoTo, minkem bae lo den?"
68,"Pagi, semalam bursa AS melemah. Dow -0,75%, SP -0.58%, dan Nasdaq -0,26%. Kemarin IHSG menguat 0,44% ke 6823 dipimpin oleh saham GOTO, ARTO, dan MDKA."
69,"@msaid_didu Sekalian pa, soroti juga isu saham goto."
70,"Min @IDX_BEI  request suratin cinta juga dong ke $BRIS biar bisa kayak GOTO terbang 2 hari, eh 3 hari walaupun hari pertama turun lagi. 

Terima kasih Mimin Ganteng dan Cantik...."
71,"@BossTemlen Sejak awal saya sudah gak yakin bener, kok Telkomsel investasi Trilyunan ke GOTO. Mestinya memperkuat dan modernisasi layanan juga diperhatikan. Gelaran 5G aja masih disitu situ aja, ternyata duitnya udah habis untuk investasi yang salah..."
72,"@KangSarjono1 Telkomsel - GoTo, imbalan sebagai ketua timses Jokowi"
73,"gara2 disentil twit yg bilang ada potensi bumn merugi investasinya, tiba2 goto dan arto terbang 😁

tapi jd nya yg lain drop gara2 market cap.nya gede bat thdp ihsg 🤬"
74,@PramudyaSubur Goto miliknya disuntik pakai uang negara 5t  .
75,"Facebook Freezing
BUKA Freezing
GOTO Freezing
LinkAja PHK Massal
Kata AI Keluar Massal
Netflix PHK Massal
Blibli IPO - Juni"
76,"@Fahrihamzah GOTO Lagi mencoba membangunkan KPK,,,Semoga bisa terbangunkn Bang🥱"
77,"@PDemokrat Eaaaaaa, Eric Tohir kesandera GOTO"
78,@panca66 @Dennysiregar7 @kangdede78 Goto memberikan saham pada para ojol maksudnya apa yakk
79,"09
BERITA kepada KAWAN

yaa kalo begini,resikonya besar
dung,,,
karna fundamental keuangan goto ini ngak bagus,,,
paling2 mrka invest awal goto berharap akan ada lagi investor besar lainnya yg mau beli shm mereka,,,
tetapi entah kapan itu terjadi..."
80,"07
BERITA kepada KAWAN
jadi ""perlu ngak beli shm goto"" yaa ngak perlu lah walau Ente punya duit triliunan "", mending beli shm lainnya,,,shm bank atau shm batubara atau shm energi lainnya,, atau lebih baik Ente bangun masjid lah gitu,,,itu jauh lebih berguna drpd beli shm goto,,"
81,"05
BERITA kepada KAWAN 
""dituliskan disitu bhw pada saat ini  goto punya rugi kumulatif hampir 100 T ""  ""dan manajemen mereka menyatakan bhw ENTAH kapan goto bisa mencatat keuntungan""
nah disini makin tercium dech 

""knapa perusahaan yg rugi gitu... eeh telkom ikut2an investasi"""
82,"04
BERITA kepada KAWAN 

disini saja sdh agak  diluar norma sich,,,,  artinya tadi, yaitu mestinya investor2 yg masuk sebelum ipo, mesti untung setelah ipo,,, eeh ini malah rugi....

nah Ente bisa mencium sesuatu lah disini

ternyata, didalam prospektus nya goto saat ipo"
83,@ThatKid_Pete_C Lol goto Casa Jaguar
84,"02
BERITA kepada KAWAN

katanya, investasi telkom juga dah turun 900 M,,,,, gede banget sich turun nya,,,, padahal baru 1 bln aja listingnya

telkom masuk ke goto nya, sebelum ipo,,,,, dan bukan saat ipo,,,,,

umumnya, investor2 yg masuk sebelum ipo, diberikan diskon"
85,"BERITA kepada KAWAN
01

Gini Bro

gw lg males nulis,,,,, dah tinggal 10 watts nich

tapi kiro2 nya begini

- harga shm memang selalu fluktuatif,,,, naik dan turun,,,,, dan saat ini harga shm goto di level 200 rp

saat listing, harganya 338,,,, artinya dah turun hampir 40% lah"
86,"@Mintcadies Coba cek goto ka? Banyak kompor2 portable, cuma ya ga bisa buat masak2 yg susah2"
87,@Fahrihamzah Sebelum ipo goto TLKM floating profit 1.1 T setelah ipo goto TLKM per harga 18 may floating loss 1.2 T
88,"menjabat itu dibayar negara dari duit rakyat.... Lha kok abuse , korupsi , nggarong ....kerjaan kaga ada yg bener hasilnya. Dikritik ngamuk, dihina marah-marah main penjarakan aja. Maunya dihormati..

 pantesnya tuh ya goto hell ya nggak?"
89,"goto has gendong ihsg yo, 12% ?!!!!"
90,"Hari ini ARTO dan GOTO, tepat sekali instingku. Bukan analisis ya, insting. wkwk"
91,"Sobat, karena Telkomsel adalah anak usaha dari BUMN Telkom, maka wajar saja banyak pihak mendorong @OJK_Indonesia, @KejaksaanRI &amp; DPR-RI lakukan pengusutan penempatan dana Telkomsel kepada GOTO. Apalagi kabarnya penempatan dana itu tanpa seizin Telkom yg jadi perusahaan induknya."
92,"Sobat, yg jadi sorotan publik bukan semata soal untung rugi dari penempatan dana Rp. 6,4 triliun Telkomsel di GOTO. Persoalannya adalah konflik kepentingan antara Meneg BUMN @erickthohir dengan kakaknya Boy Thohir yg jadi Komut GOTO, penempatan dana itu dianggap kental aroma KKN."
93,@frontal_wordss @ZULKIFLIMUCHT4R @MardaniAliSera @DPR_RI Bahkan yang kemaren kemaren ada yang masuk saham goto tuh 🤪
94,"@msaid_didu @visiau Waduh...3 masalah negara berbarengan dgn kasus UAS di singapura 
1. Mafia migor yg ikut jerat orang jokowi
2. GoTo-telkomsel dgn keberadaan saudara kandung Erich Thohir
3. Defisit cash yg sagat besar Pertamina dan PLN yg luput perhatian Erich Thohir karena sibuk urusan nonBUMN"
95,$GOTO mencatatkan lonjakan transaksi sepanjang periode Ramadan 2022. Jumlah pesanan di Tokopedia yang dikirim menggunakan layanan GoSend tercatat tumbuh +85% dibandingkan periode Ramadan 2021.
96,"@HeriSuwondo2 Investasi itu kan jangka panjang, telkomsel ga invest bentaran kali. Dan GOTO kan masih baru di bursa. Kalo turun belum tentu rugi krn ada kemungkinan naik lagi juga sebaliknya kalo naik bs turun. Kalian investasi saham dlu deh.. baru ngerti rugi / untung di bursa saham."
97,@FWBESS Mau buat dibeliin saham goto kak...
98,"@HeriSuwondo2 Disini rangorang pd investasi ga di saham goto? Aku aja invest goto ada minus masih santai.. itu sahamnya jg skrg lg naik kok, dan lagian naik turun di saham itu kan hal biasa/wajar kalo kalian biasa trading saham ya. Buka juga turun banyak dr pertma IPO. Lbh deg2n sama arto 😆🤣"
99,Mayan lah GOTO 😁
100,"@erickthohir Pak @erickthohir , bagaimana dengan rugi Telkomsel Trilyunan yg membeli IPO GOTO?"
