id,text
1,"@budaqburuh Ya kan emg safa ga salah, kpopers lainnya aja yg lebay🤣"
2,"@igotsaf respek respek kontol, kalau gatau mah diem aja. btw thankyou safa udah minta maaf, semoga lo beneran minta maaf dan ga ngulangin lagi"
3,Safa space ini wtf banget wkakakak
4,@bagusacsr emg si safa ini ngatain apa ya ke jaem sm renjun?
5,@sintaseyo @tanyakanrl Mending kakak jelasin ada apa dengan Safa?
6,YaAllah TL gw isinya kisruh Safa sama mbaq2 dimsun   ini brita2penting pd ilang... Ngk d baca tpi gw penasaran.
7,@DugathBPS @txtdrimedia @yol_twt oh ini si Safa
8,timeline bnr2 oenuh dgn safa
9,"@manusia_kumal Tadi lewat yg mandang sblh mata org grgr suka kpop doang, trus grgr mslh safa lagi trending jadi ajang buat org2 kyk gitu makin2 jadi. Belom lemes otot aku nya ni gabisa becanda dolo"
10,gw lebih milih kasusnya garam daripada safa ama mba flower :)
11,"Sumpah nih orang pada kenapa ya? Buka twitter bikin pusing semua, garam sama safa ini kenapa?? Mereka temenan kah??"
12,NGAKAK BGT KNP MAMAKU NANYA NANYA SAFA YAALLAH
13,@daizzey Klo yg masalah Safa emang lumayan seru sih tapi klo yang garam aku gak terlalu tau
14,Safa Safa ni apesi ganggu bgt
15,@Shafamamahbawel Iya ya.. photo terbaru ya Mbak Safa?
16,GUE SEKANTOR (lawfirm) DENGERIN SPACE SAFA ITU TERUS KITA SEMUA NGAKAK SAMBIL NGOMONG “SI PAHAM BANGET HUKUM” 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
17,bisa2nya kasus safa masuk pisb 😌
18,@rrrumpang safa kenyang dong jadinya
19,Will the kinpuri space be nonstop from 16:00-19:00 or?? Ini mau nyaingin safa space durasinya? 😂
20,"bcs anak trejo lagi liburan jadi yg mampir lewat tl masalah safa lah, kader golkar, konser nct dream, sampe garam juga nyampe sini 🥲"
21,@ArdeaPramesty1 jadi si safa ini ngehate idolnya mbak flower trus ceritanya lg disidang
22,Operasi kali ini kolaborasi ners-dokternya ngomongin safa yaamponn 😭😭
23,safa yg aku kenal emg sering bikin ribut wkwkw
24,@collegemenfess Analisis sentimen kasus safa dan mbak bunga
25,males bgt disini tl nya masih safa safa padahal udah ku tinggal dri kemarin 😭
