id,text
1,"@lemondemark_ @nanaayytx @jenoinvienna @nctzenbase Topik Safa ini sempet trending. Nah Safa ini ngehina renjun sama jaemin. Terus ada mbak flower yang space sama Safa, dia ngaku kalo dia aktifis ham dan banyaklah. Nah, dia bilang mau mindahin ortunya Safa yg polisi buat ditugasin ke Papua."
2,"Inget jg mbaknya umur udh mau 30, lebih dewasa lagi nanggepin semuanya.. Ini cm masalah idol kpop lho, jangan ke kanak²an
Gk cuma safa aja yg nunjukkin ujaran kebencian masih ada orang² yg lebih jahat lagi ke idol kita
Kl nemu kek begituan, langsung mass report atau lapor sm aja"
3,@odysti_ kalo penasaran cari thread ‘Safa’ kaaaa🤣
4,"Rame banget ya berturut-turut gini. Sidang di Safa, kasus bully, fans gila yang mengusik ranah pribadi seleb yang datang ke indo."
5,@fauziahdiobaa @99skets ini pd umur brpsi yg lawan si safa?
6,Kocak juga kejadian Safa ini
7,"@wlnh_r00 Dari sini kita bisa melihat umur beneran cuman angka, ngga bisa jadi tolok ukur dewasanya seseorang. Pas dengerin rekamannya antara pengen ketawa atau kasian sama si safa eh ternyata netizen balik ngebully mbak flower"
8,"gilak, salut sih sama safa, di usia semuda itu terus dikeroyok segitunya masih bisa tenang dan menanggapi dengan kepala dingin banget. dan dia juga lebih paham hukum, curiga banget dia sebenernya malah mahasiswa hukum 😂😂
what a plot twist kalo beneran gitu"
9,"@mas_pra_ emang sih yang cewe ini salah banget tapi kalau kakaknya ngeliat kelakuan safa-safa sebelumnya juga pasti ga akan mungkin lebih pro kesafa, soalnya mereka berdua emang udah sama-sama keterlaluan. safa keterlaluan dalam hal lain dan yang 29 tahun ini keterlaluan dalam hal lain jg"
10,"wkwk apaan si kocak bgt yg belain safa???
si flower juga kocak bgt asli, ni orang 2 tu salah oy ngapain di bela ato respect, yang satu ketikan jahat banget yang satu juga ngerasa punya power, kocak bgt tolong."
11,"@palpalepalple_ @LazyFaa @igotsaf Mjb, apalagi banyak normies yang malah respect ke si Safa ini, pake capt seolah-olah Safa berani krn ngelawan kpopers (yg pdhl dia juga kpopers). Plis gw ngakak dr tadi liat komenan di sini😭😭"
12,"@igotsaf Safa, kalo ada perusahaan yg buka loker trus krit nya mampu bekerja dibawah tekanan langsung apply aja ya, gausah wawancara lgsg di acc langsung kerja gaji diatas umr"
13,"Ada hiburan lagi ga, selain safa space😀"
14,Maaf ajani tapi gue gedeg bgt sama safa safa ini
15,@harjisito Apa Jinan Safa? 😁
16,"paling paling setelah safa deak, entar juga bikin akun baru dengan nama baru buat ngehate renmin🙄"
17,eh mslh safa kmrn jd rame bgt ye
18,Dari kasus safa gw sadar kalo diluar sana masih  banyak orang yang makin tua makin goblok:(
19,walaupun tweetnya problematik ternyata bahasa inggrisnya safa bagus
20,@igotsaf terimakasih safa berkat kamu jd aku tau ternyata fans agnesmo tidak seburuk itu
21,"and then buat masalah mbak 29 tahun itu beda lagi, jgn cuma karna keanehan mbak 29 lo jadi mengabaikan kesalahan yg udah si safa buat, kalo lo masih pada belain si safa itu artinya lo menormalisasikan hate speech ke orang lain karna lo malah mengabaikan dia, bukannya negur"
22,"@rahmadilaizza_ @annisaelfhazaaa Iku kpopers gabut ceritane dil, mb berflower umur 29 dan safa iki bocil, nah si bocil ceritane ngejek si na jaemin dan huang renjun nct dream gtgt deh trs yawes kesebar trs di gawekno space ndk twitter, lah ngakak e mb berflower iki sampe kate gowo2 ng meja hijau gt deh🥲🙏😃🤌"
23,"@collegemenfess yang masih hangat, masalah safa kemarin?"
24,@BuyaUdin @imanmusri @zuzuchengkal_ safa lowo
25,Safa nih sapa lagi?
26,"@viewjpeg61 @igotsaf Dia kpopers :v malah masuk kategori toxic fans. Ah klo gue pribadi ga nganggap Safa sebagai FANS, soalnya dia tidak mencerminkan seorang fans"
27,"kalo fandom kpop mau ngelaporin Safa ke polisi, itu Safa kagak usah takut. suruh yang ngancem bikin laporan yang bagus, kalo bisa dipigura. kalo ngomong depan gua tu yang ngancem lapor, gua sentil limpanya"
28,safa emang salah kok tapi kenapa malah jadi mengintimidasi safa bareng-bareng.. lagian yang safa bilang bener loh kalo emang mau nuntut itu bukan haknya mereka malah di space di “LAHH”in padahal mah emang bener si safa kan mereka bukan siapa-siapa
29,"Ni konten kreator TT kenapa jadi pada bahas safa n mbak2 29 tahun dah, biasanya juga bahas ukraina rusia"
30,@sluluplup saya bukan safa 🤣
31,"@eliensh Sumpah sih emang
Na aja denger reviewnya malah gagal fokus
Kaga ada mikir2 safa
Kepo ini safa ngehate apa jd diserbu org aja engga
Sumpah jd gagal fokus gitu,hahahahaha

Tp beneran suaranya tuh meyakinkan sih umur 29an
Kayak dewasa gitu,wkwkwkwkkw"
32,"Lama2 gue muak, gara2 pembahasan Safa kemarin semua pada compare seolah2 mereka itu yg terbaik. Seolah2 zaman mereka itu yg terbaik. Bullshit. We just live in differenr era. Don't act like a super. U fool."
33,"@sbyfess jare NCTdream, ben koyok safa"
34,"@Yeti72899174 @igotsaf Karena banyak kpop fans waras yang menganggap ciutan Safa itu normalnya bocil toxic pemecah belah fandom. Kenapa? Kasusnya banyak, dan bukan cuma ini. Banyak d komentar yt,ig,dan twt. Jadi orang² lebih berfokus ke emak2 29 thn, yang justru menyeret hal² d luar 'yang seharusnya'."
35,Safa kenapa sih? Dah lama nggak ketemu sama Marwah pasti.
36,safa siafa sih
37,"Safa safa safa mulu
Safa sih lo?"
38,"oiii safa!!!! ayah saya tentara, adik saya polisi, kakak pacar saya kapolda, dosen saya kader golkar. saya? sappoll!!"
39,"dilihat dari kasus safa , segala yg berlebihan itu tidak baik wkw"
40,"@oolatte jujurly aku gatau sepenuhny mslh tentabg si safa itu but kek "" saya perwakilan dri jamein dan huang renjun blalablaa"" mau ngakak aj, nct dream itu idol gesseu jdi ga heran ada yg hate or kagak, Tinggal diemin aja susah banget dah, enjoy aja cmiw"
41,pas dia ngomong gtu gue kaget anjritt tpi ngakak juga😭😭😭 kyk kaget nya biasanya dia klo gw nonton yg bgtu pasti ama dia dikata²in tpi ini dia malah ngomong bgtu trus sampe dia keluar kamar masih aje ngata²in safa ama sabrina😭😭😭😭😭
42,"Kata gua mah ini non kpopers di Rep tweetan Safa lebih bego dari pada mbak 29 tahun. Padahal tweet paling atas tuh udah ada tulisan ""menghina idola saya sendiri"""
43,"safa dan berflower gengs sama2 problematic.
bedanya cuma yang 1 masih abg, yg lainnya si paling mamak

sekali lagi, ORANG-ORANG PADA KENAPA SIH????"
44,"Yang bikin lucu soal kasus Safa ini adalah....

Guru sama Dosen PNS mana bisa jadi kader partai Cok!!!"
45,"Setelah mengamati dan mendengar cuplikan space safa, nctdream dll. GUA TIM SAFA WOY!!!!!!!!! 🤣🤣🤣"
46,LORD SAFA.  Nama Legendarisnya patut untuk diabadikan jadi nama jalan
47,@imdelicous “safa lo k**tol bgt sumpah”
48,"harus nya gua galau merana gara gara allobank lah ini malah masih bacain komenan di akun safa awoakowkwkwkwkwkwkwk gatau kenapa tetep gaada rasa kasian sama dia tapi ga membenarkan sikap sab, flower dkk juga"
49,"ini masalah si safa jadi kemana mana masuk tiktok lah, masuk berita lah, orang orang yg ga tau masalah aslinya kebanyakan pada muja muja, ngebelain si safa eh anjir inget dia hate speech sama orang bahkan kesalahan udah fatal bgt, dia udah mengakui jadi udah plis jgn latah lagi."
50,@harjisito Kalo Azizi Safa gimana gan?
51,"@tvindonesiawkwk Ga ngerti lagi, mending gue masuk space nya safa lebih bermanfaat"
52,"Kasus safa semakin lama malah jadi ajang pembullyan, i know mbaknya emang halu ngaku emaknya dreamis tapi bukan berarti kalian mempermalukan mbaknya. That's not funny anymore."
53,"GARA2 SAFA SAMA KASUS BULLY, TL GUE JADI GA MUNCUL YG BAHAS KEP1ER THE BOYS. ANJ"
54,@criminace lah dari sini malah safa nya yang keliatan lebih dewasa
55,"@Boboomye @bangchanwibu Safa emng salah karna toxic, tp kek nya lebih keliatan tolol nya yg nuntut dia"
56,"@sechenng @gitaaaayuuuu @orscientist @bapakesabiq @oohalien Dia juga bongkar privacy bapaknya si safa, doxxing, ngancem ngancem, bully minors, giliran dirujak aja pipasipipasi kontol"
57,"@moawayanto YA ALLAH WKWKKW AKU JELASIN PAKE BAHASA BAYI YAAA 

kalau mau gampangnya sih si safa ini ngehate member ensiti exclude jeno doanggg pokoknya yang booming tuh renjun jaemin yang di hatee nahhh abis tuu malah dibawa bawa ke space diancam bakal dipidana dibawa ke polisi gitu 😭😭😭"
58,grgr safa tl gua isinya nct semua:)))
59,Setidaknya mbak safa yg ngetweet jahat ni berani minta maaf.. ngga kayak...
