id,text
1,"@tanyakanrl Gw udeh di umur 29, 3th sebelumnya berkarir bagus di posisi manager, sekarang di paksa ortu nganggur, di rumah aja 🙂 . Mentok balik nulis series di wattpad.
Kangen kerja, badan kek sakit kalo ga kerja."
2,"@igotsaf Sering banget ngeliat haters, pas lagi minta maaf tetep di rujak. Di kasus safa bahkan dia di ospek senior di space 🤣

Btw, safa, kamu bakal bertumbuh dewasa kok, dan ngerasa lucu dengan kasus ini, smg kamu jd orng yg lebih baik ya. Ntar kalau umur 29 tahun, jangan kek mb flower"
3,"@aditya_lasbor Subhanallah ya masalahnya, sampe bikin spicles. Umur 29 kok ya masih aja punya energi berantem gajelas gini, gue umur 29 ini jam 5 sore aja udah lobet🤣🤣🤣"
4,"nanti umur 29 pun aku akan tetap menjadi fans windah barsudara, hip hip wika wika."
5,"@Askrlfess Sudahlah nder. Ntar kamu dilaporin sama mbak² umur 29 aktivis ham perwakilan dr na jaemin dan huang renjun, yang calon kakak iparnya kapolda, dosennya kader golkar, ariknya pulici 😒"
6,"@rahmadilaizza_ @annisaelfhazaaa Iku kpopers gabut ceritane dil, mb berflower umur 29 dan safa iki bocil, nah si bocil ceritane ngejek si na jaemin dan huang renjun nct dream gtgt deh trs yawes kesebar trs di gawekno space ndk twitter, lah ngakak e mb berflower iki sampe kate gowo2 ng meja hijau gt deh🥲🙏😃🤌"
7,"area makassar yang cari parner laki2.
umur 29 jamin ganteng putih, badan normal

😎

silahkan dm

#pasutri3some 
#pasutri 
#Bomakassar 
#bokepindo"
8,"najaemin umur 21, huang renjun umur 22, emaknya umur 29. umur 7 udah lahiran."
9,"@mujiana_ Mbuhh yaa.. mbak flow iku jare wes umur 29 to, sajano wes gak wayahe melu nimbrung hal hal seng ngunu iku, sajano wes wayahe menikmati karya, seng tenang ngunu kek🤣🤣
Gawok to podonan, jo meneh non kpopers, seng sesama kpopers ae emosi caahh.."
10,Udah gak kaget sih ada orang umur 29 tahun masih ikut war KPop soalnya udah pernah nemu buibu 30an anak 2 masih bayi pula malah ributin kapal homo 🥲
11,"@iinvani safa fans korea, tp sukanya jelek2in member NCT
diundang space, dirujak rame2 sama avkor lain, tapi safa stay strong

yg bully ini umur 29, bapak tni, adik ipar polisi, dosennya kader golkar (ntah apa hubungannya), dan dia sendiri ngakunya aktivis

dibully balik sm netizen, wkwk"
12,"@HENTAlSUS Udah umur 29 masih aja kebanyakan halu itu org ampe ngebelain idolanya mati""an gblk amat heran"
13,"@Rtupoke Maksimal 30 min, pas umur 29 juga uda siap2 dilepas"
14,"Aku gak tau pas umur 29 tahun hidupku kek gimana, yang jelas sih bukan jadi perwakilan na jaemin dan huang renjun."
15,Safa kalo dari awal dengerin punk ga akan diributin sama mba mba umur 29 taun ini
16,@Spurs_ID @Sonny7 Di umur 29 tahun Sony sudah jadi pesepakbola kelas dunia.
17,kocak bgt ya kasusunya safa dan mba2 29 tahun ini. malu mba umur 29 thn kaya gitu
18,"@infotwitwor_ Ya allah untung w dah tobat. Adek2 cepatlah kalian bertambah tua maka kalian akan malu dgn sendirinya. Tp ga menjamin juga si, kmrn aja ada org umur 29 tahun jd AKTIVIS HAM punya adek POLISI dan dosen nya KADER GOLKAR, CALON ipar nya jg KAPOLDA tapi masih ""nganu"" di space"
19,"@masluwak Safa iki fans kpop nama grup e nct tp dee hate ke salah satu member lain, ada mbak2 umur 29 thn ga terima kalo safa kayak gt, akhire mbak e bikin space nyidang safa suruh mintaa maaf pake materai 20k trs krn ga ditanggepi safa akhire  mbak2 e pake power abuse"
20,@Rhiizuka umur 29 tahun pokoknya
21,@dumhamud Malu maluin umur 29 tahun njir..🤦🏻‍♂️😂
22,knp w udah ngerasa umur 29 like whyyyy tell meee
23,mba berflower umur 29 aktivis ham mending energinya ditransfer ke aku insyaAllah ada gunanya drpd buat ngurusin yg ngga jelas😞
24,@MiskinTV_ @loghanaja Umur 29 nggak bang government?
25,@txtdrbekasi yg aneh mbak mbak umur 29 di safa space
26,@heylutfi_ Ada mbak2 umur 29 tahun yg ikut lari2an ?
27,"jadi penasaran sama umur 29 tahun terus adeknya polisi, dosennya kader golkar dst, cara carinya gimana ya anj"
28,"@heyTasyaAprilia @sabrina2322_ Si safa itu ngejelkin idol gitu deh, nah trs itu para fansnya ga terima disuruh minta maaf dll, sampe diancem laporin polisi, bawa2 jabatan ortu, aktivis ham dll. Yg ngmg tante2 umur 29 wkwkwkwkw"
29,@lekkerbezig_ @anakbebelak nah nnti kalo udh umur 29 jadi aktifeast HAM aja kerennn
30,@orangbaratt apakah di umur 29 bulan meng ini jg suka fanwar?😱
31,"@injeolmies49 @tanyakanrl Safa emng jahat tp bisa kita report akunnya, lain halnya sama mba2 yg umur 29 tp omongannya na'udzubillah"
32,"ibu2 umur 29 berkata ""mereka ini anak2 saya""

brrti dia ngambil rapotnya ke korea ya?"
33,@kinanadista @meutianisa Umur 29 malah makin mengadi ngadi wkwkwkwkw cape banget
34,"@dummyhobo aslii, trus si berflowerr terang2an bilang dia umur 29 dengan sikapnya yg begitu😭 like touching the grass isn't enough at this amount"
35,@dniluc Yang bikin bingung oranng umur 29 tahun ngapain ikut campur....
36,"@MinJaeNaaaa @kinderorchestra safa padahal kan cuma hate speech aja paling mau klarifikasi aja cuma sabrina x berflower dan antek-anteknya itu yg nuntut nya terlalu berlebihan, hanya utk membela anak2 7dream doang .. umur 29 tahun tapi ihh ngurusin kpopers solo stan"
37,"tau ada yang ribut di Twitter soal perkepopan dari TikTok.
HAHAHAHAHAHAHA

yawla, emak2 umur 29 taun nyrang anak 19 th gegara idolnya diejek.
🤣🤣🤣

yang bisa nuntut ya cuma idolnya sendiri, mbae..
astaga."
38,@CHOSO119 Saya umur 29 tahun dan saya masokis
39,@tubirfess Yang umur 29 tahun bukan si Safa kocaaak
40,"emang umur 29 tuh iconic banget ya. dulu sempet viral ""29 my age"". sekarang ""saya 29 tahun dan aktivis HAM"" 😂"
41,@Marcoinfinix Umur 29 harusnya ngapain sob
42,@tubirfess Salah server nder. Safa itu yang dirujak di space sama mba flower si aktipis ham umur 29 tahun
43,Eh tapi keren hlo umur 29 anaknya katanya udah 7?
44,Kok dia bisa bilang dengan bangganya bilang umur 29 tahun? 🥲
45,"umur 29 kelakuan kek bocah, lawak lu wkwk"
46,"#ceritaserem di umur 29 adalah, satu persatu temen2 yg udj nikah duluan , pada curhat konflik rumah tangganya."
47,@jendr0 umur 29 tahunmu itu sudah berlalu sejak 5 tahun yang lalu ya?
48,"@Rtupoke 34 - 35
Umur 31 ampe 33 itu performa masih bagus. Dan kalo dijadiin pelapis juga gak banyak tingkah.
Dan umur 29 ampe 33 itu paling bagus buat jadi mentor"
